Time (s),Set Temperature (°C),Current Temperature (°C), Proportional, Integral, Derivative, Output Current (A)
155.09938549995422,60.0,58.851470433711626,2.2970591325767487,51.42632599575493,-0.022210204875061593,537.0117492345662
156.81894636154175,60.0,59.05649929813466,1.8870014037306788,51.520676065941466,-0.02665375237499454,533.8102371729715
158.5299413204193,60.0,59.19319223225891,1.6136155354821824,51.601356842715575,-0.017770081436152267,531.972022967616
160.40205764770508,60.0,59.36406630370526,1.2718673925894848,51.66495021234505,-0.022213629288025345,529.146039756465
162.11665272712708,60.0,59.46659496244802,1.0668100751039589,51.718290716100256,-0.013328725636559185,527.7177206556765
163.87935662269592,60.0,59.67166176701909,0.6566764659618229,51.75112453939835,-0.026658684594238837,523.8114232076593
164.75292420387268,60.0,59.70584079771477,0.5883184045704581,51.78054045962687,-0.004443273990438712,523.6441559020689
165.7694182395935,60.0,59.80837999847611,0.3832400030477743,51.79970245977926,-0.013330096098974452,521.6961236672806
166.86206340789795,60.0,59.87674122298742,0.24651755402516073,51.81202833748051,-0.008886959186469881,520.496589323192
167.89656782150269,60.0,59.94510385346995,0.10979229306009586,51.81751795213352,-0.008887141962729217,519.1842310323088
168.90020608901978,60.0,60.04765043557881,-0.09530087115761887,51.81275290857564,-0.013331055674151458,517.0412098174387
169.96384358406067,60.0,60.081833332694515,-0.16366666538903019,51.80456957530619,-0.004443776625041735,516.3645913329212
171.05299067497253,60.0,60.18438413343271,-0.3687682668654162,51.78613116196292,-0.01333160409596509,514.0403129100154
172.07846093177795,60.0,60.2185684368448,-0.437136873689596,51.764274318278446,-0.004443959443571685,513.2269348514528
173.14350867271423,60.0,60.32112345673237,-0.6422469134647457,51.73216197260521,-0.013332152585384734,510.7658290655508
174.15911722183228,60.0,60.32112345673237,-0.6422469134647457,51.70004962693197,0.0,510.57802713467225
175.2746880054474,60.0,60.42368164132367,-0.8473632826473363,51.6576814627996,-0.013332563996868389,507.96985616155393
176.28705954551697,60.0,60.457868406172075,-0.91573681234415,51.61189462218239,-0.004444279430292895,506.91713530407947
177.2969160079956,60.0,60.492055522698124,-0.9841110453962472,51.56268906991258,-0.004444325148386313,505.7413369936795
178.32505249977112,60.0,60.52624299091194,-1.052485981823878,51.51006477082139,-0.004444370867796011,504.53134418129713
179.41770482063293,60.0,60.56043081082442,-1.1208616216488423,51.454021689738944,-0.004444416588622673,503.2871565150148
180.60403633117676,60.0,60.628807505790064,-1.2576150115801283,51.39114093915994,-0.008888970345533594,501.2463695723428
181.64689660072327,60.0,60.628807505790064,-1.2576150115801283,51.328260188580934,0.0,500.7064517700081
